Page,Question,Answer
page_5.png,How much did BHP increase its Indigenous employment globally in the financial year?,BHP increased Indigenous employment globally and boosted supplier spend with Indigenous businesses by 83 percent to more than US$130 million.  
page_5.png,What decision did BHP make regarding Western Australia Nickel in July 2024?,BHP made the difficult but necessary decision to transition Western Australia Nickel into a period of temporary suspension due to global oversupply of nickel.  
page_5.png,How much does BHP plan to invest annually in Western Australia Nickel facilities to enable a potential re-start?,BHP plans to invest approximately US$300 million per annum in Western Australia Nickel facilities.  
page_5.png,What are the three strategic pillars of BHP's winning strategy as mentioned in the report?,"The three strategic pillars are safety and sustainability, exceptional performance, and winning portfolio.  "
page_5.png,How has the application of artificial intelligence (AI) at BHP’s Escondida processing plants benefited the company since FY2022?,The application of AI has helped save more than three gigalitres of water and 118 gigawatt-hours of energy at Escondida processing plants since FY2022.
page_16.png,What was BHP's total direct economic contribution in FY2024?,BHP's total direct economic contribution in FY2024 was US$49.2 billion.  
page_16.png,"By what percentage did BHP's underlying EBITDA increase in FY2024, and what was its value?",Underlying EBITDA increased by 4 percent to US$29 billion in FY2024.  
page_16.png,What was BHP's underlying return on capital employed (ROCE) for FY2024?,The underlying return on capital employed for FY2024 was 27.2 percent.  
page_16.png,"How much did BHP pay in total dividends per share for FY2024, and what was the payout ratio?","BHP paid total dividends of 146 US cents per share for FY2024, with a 54 percent payout ratio.  "
page_16.png,"What was BHP's total payments to governments in FY2024, and what was the portion attributable to Australia?","Total payments to governments in FY2024 were US$11.2 billion, including approximately A$10.71 billion in Australia.  "
page_16.png,"How much did BHP invest in growth and sustaining capital in FY2024, and which projects were highlighted?","BHP invested US$9.3 billion in growth and sustaining capital, including US$2.7 billion on copper projects and US$1.1 billion at Jansen, with additional investment in Western Australia Nickel and Samarco.  "
page_16.png,"What was the underlying EBITDA margin for BHP in FY2024, and how many consecutive years has it remained above 50 percent?","The underlying EBITDA margin was 54 percent, marking the eighth consecutive year above 50 percent.  "
page_16.png,How did BHP's WAIO unit perform in terms of cost and production in FY2024?,WAIO has been the lowest cost iron ore producer globally for over four years and extended its lead in FY2024.  
page_16.png,What was BHP's reported effective tax rate for FY2024 before and after royalties?,"The reported effective tax rate for FY2024 was 32.5 percent, increasing to 41.7 percent once royalties are included.  "
page_16.png,What was BHP's shareholder return strategy and its approach to capital allocation as stated in the report?,"BHP employs a disciplined approach to capital allocation, embedding value through its Capital Allocation Framework (CAF), prioritizing financial strength, flexibility, and consistent shareholder returns."
page_17.png,What was BHP's total revenue for the year ended 30 June 2024?,"BHP's total revenue for the year ended 30 June 2024 was US$55,658 million.  "
page_17.png,How much profit after taxation from continuing operations did BHP report in 2024?,"BHP reported a profit after taxation from continuing operations of US$9,601 million in 2024.  "
page_17.png,What were the net operating cash flows for BHP in the financial year 2024?,"Net operating cash flows for BHP in 2024 were US$20,665 million.  "
page_17.png,What was the total amount of dividends per ordinary share paid during the period in 2024?,Dividends per ordinary share paid during the period in 2024 were US$1.52 (152.0 US cents).  
page_17.png,What was BHP's underlying EBITDA for FY2024?,"BHP's underlying EBITDA for FY2024 was US$29,016 million.  "
page_17.png,How did BHP's net assets change from 2023 to 2024?,"BHP's net assets increased from US$48,530 million in 2023 to US$49,120 million in 2024.  "
page_17.png,What was BHP's underlying return on capital employed for the year 2024?,The underlying return on capital employed for BHP in 2024 was 27.2 percent.  
page_17.png,What was the capital and exploration and evaluation expenditure for 2024?,"Capital and exploration and evaluation expenditure for 2024 was US$9,273 million.  "
page_17.png,What is the basis for BHP’s preparation of Consolidated Financial Statements?,"BHP prepares its Consolidated Financial Statements in accordance with International Financial Reporting Standards (IFRS), as issued by the International Accounting Standards Board.  "
page_17.png,How does BHP define and use non-IFRS financial information?,"BHP uses non-IFRS financial information to reflect underlying performance, providing useful information for management and investment review, but it is not considered a substitute for statutory measures as presented in accordance with IFRS."
page_18.png,What was BHP’s profit after taxation from Continuing and Discontinued operations for the fiscal year 2024?,"BHP’s profit after taxation from Continuing and Discontinued operations for fiscal year 2024 was US$9,601 million.  "
page_18.png,What is the reported net operating cash flow from Continuing operations for BHP in 2024?,"The net operating cash flow from Continuing operations for BHP in 2024 was US$20,665 million.  "
page_18.png,How much revenue did BHP generate from Continuing operations in 2024?,"BHP generated US$55,685 million in revenue from Continuing operations in 2024.  "
page_18.png,What was the underlying EBITDA reported by BHP for the year 2024?,"The underlying EBITDA reported by BHP for 2024 was US$29,016 million.  "
page_18.png,What was BHP’s underlying return on capital employed in 2024?,BHP’s underlying return on capital employed in 2024 was 27.2%.  
page_18.png,How much was BHP’s profit from operations for the year ended 30 June 2024?,"BHP’s profit from operations for the year ended 30 June 2024 was US$17,537 million.  "
page_18.png,What were BHP’s total taxation expenses for the fiscal year 2024?,"BHP’s total taxation expenses for 2024 were US$6,447 million.  "
page_18.png,How much was attributable to non-controlling interests from profit after taxation in 2024?,"US$1,704 million was attributable to non-controlling interests from profit after taxation in 2024.  "
page_18.png,What is the primary purpose of using underlying attributable profit as a key performance indicator according to BHP?,Underlying attributable profit allows the comparability of underlying financial performance by excluding the impacts of exceptional items.  
page_18.png,What was the net finance cost incurred by BHP in 2024?,"The net finance cost incurred by BHP in 2024 was US$1,489 million."
page_19.png,What was BHP's profit after taxation attributable to shareholders for FY2024?,BHP's profit after taxation attributable to shareholders for FY2024 was US$7.9 billion.  
page_19.png,"By how much did BHP's revenue increase in FY2024 compared to FY2023, and what was the primary reason for this increase?","BHP's revenue increased by US$1.8 billion, or 3 percent, in FY2024, mainly due to higher average realized prices for iron ore and copper combined with higher sales volumes.  "
page_19.png,"What was the total amount of exceptional losses included in FY2024, and what were the main contributing factors?","The total exceptional losses in FY2024 included US$5.8 billion (after tax), primarily due to a US$3.7 billion non-cash impairment at Western Australia Nickel (WAN) and a US$3.8 billion relating to Samancor dam failure impacts, partially offset by a gain on divestment of Blackwater and Daunia coal assets.  "
page_19.png,What was the underlying EBITDA for BHP in the year ended 30 June 2024?,"The underlying EBITDA for BHP in the year ended 30 June 2024 was US$29,016 million.  "
page_19.png,How did changes in sales prices impact BHP's underlying EBITDA in FY2024?,"Changes in sales prices had a positive impact of US$1,476 million on underlying EBITDA due to higher average realized prices for iron ore and copper, partially offset by lower average realized prices for thermal coal and nickel.  "
page_19.png,What was the impact of price-linked costs on BHP's underlying EBITDA for FY2024?,"Price-linked costs had a negative impact of US$108 million on underlying EBITDA, largely offset by higher iron ore royalties in line with price movements.  "
page_19.png,What amount did new and acquired operations contribute to the change in underlying EBITDA for FY2024?,"New and acquired operations contributed US$528 million to the change in underlying EBITDA for FY2024, primarily from the successful integration of OZ Minerals (OZL).  "
page_19.png,"How did changes in controllable cash costs affect underlying EBITDA in FY2024, and what were the main drivers?","Changes in controllable cash costs had a negative impact of US$773 million on underlying EBITDA in FY2024, mainly due to higher operating cash costs at WAIO, NSWE, Escondida, and WAN, as well as higher exploration spend.  "
page_19.png,"What were BHP's total expenses excluding net finance costs for FY2024, and what was a primary driver of the increase?","Total expenses excluding net finance costs for FY2024 increased by US$4.9 billion to US$36.8 billion, primarily due to a higher impairment expense of US$3.8 billion at WAN.  "
page_19.png,"What was the total taxation expense for BHP in FY2024, and what was the primary reason for the decrease from FY2023?","The total taxation expense for BHP in FY2024 was US$6.4 billion, a decrease of US$0.6 billion or 9 percent from FY2023, mainly due to a tax benefit of US$1.1 billion in relation to the impairment of WAN."
page_20.png,What was BHP's net operating cash flow from continuing operations for the year ended 30 June 2024?,"BHP's net operating cash flow from continuing operations for the year ended 30 June 2024 was US$20,665 million.  "
page_20.png,How did BHP's net investing cash flows from continuing operations change between FY2023 and FY2024?,"BHP's net investing cash flows from continuing operations improved from an outflow of US$13,065 million in FY2023 to an outflow of US$8,762 million in FY2024.  "
page_20.png,What was the net increase/decrease in cash and cash equivalents for BHP in FY2024?,The net increase in cash and cash equivalents for BHP in FY2024 was US$234 million.  
page_20.png,"What was BHP’s underlying return on capital employed (ROCE) for FY2024, and how did it compare to the previous year?","BHP’s underlying return on capital employed (ROCE) for FY2024 was 27.2 percent, which decreased by 1.6 percentage points from the previous year.  "
page_20.png,What were BHP’s interest bearing liabilities and cash and cash equivalents at the end of FY2024?,"At the end of FY2024, BHP’s interest bearing liabilities were US$20.7 billion and cash and cash equivalents were US$12.5 billion.  "
page_20.png,"How much did BHP’s net debt decrease by during FY2024, and what was the resulting net debt at 30 June 2024?",BHP’s net debt decreased by US$1.6 billion during FY2024 to US$7.0 billion at 30 June 2024.  
page_20.png,What were the main objectives of BHP’s debt and liquidity management policies as stated in the report?,"BHP’s debt and liquidity management policies aimed to ensure a strong balance sheet, diversify funding sources, and maintain borrowings and excess cash predominantly in US dollars.  "
page_20.png,"What was the gearing ratio of BHP at 30 June 2024, and how did it compare to the previous year?","The gearing ratio was 15.7 percent at 30 June 2024, compared with 18.7 percent at 30 June 2023.  "
page_20.png,What was the primary reason for the decrease in net investing cash outflows from continuing operations in FY2024?,The primary reason was the non-recurrence of the US$5.9 billion OZM acquisition completed in FY2023 and proceeds from the divestment of BHP’s interest in Blackwater and Daunia coal operations.  
page_20.png,"How did net operating cash inflows from continuing operations in FY2024 compare to those in FY2023, and what was the main reason for the change?","Net operating cash inflows from continuing operations increased by US$2.0 billion in FY2024, mainly due to lower tax and royalty related tax instalment payments compared to FY2023."
page_83.png,"What was the total revenue from copper operations for the year ended June 30, 2024?","The total revenue from copper operations for the year ended June 30, 2024, was US$18,566 million.  "
page_83.png,By what percentage did total copper production increase in FY2024 compared to the previous year?,Total copper production increased by 9 percent in FY2024.  
page_83.png,What was the underlying EBITDA for copper in FY2024 and how did it change compared to FY2023?,"Underlying EBITDA for copper in FY2024 was US$8,564 million, an increase of US$1.9 billion from FY2023.  "
page_83.png,"What were the reported net operating assets for copper as of June 30, 2024?","Net operating assets for copper as of June 30, 2024, were US$36,368 million.  "
page_83.png,"What were the average realised prices for copper in FY2024, and how did this compare to FY2023?","The average realised price for copper in FY2024 was US$3.98 per pound, compared to US$3.65 per pound in FY2023.  "
page_83.png,What were the unit cash costs for Escondida and Spence operations in FY2024?,"In FY2024, Escondida’s unit cash cost was US$1.45 per pound, and Spence’s unit cash cost was US$2.13 per pound.  "
page_83.png,"Which copper asset showed a 39 percent increase in production in FY2024, and what was the main reason for this increase?","Copper South Australia showed a 39 percent increase in production in FY2024, mainly due to the successful integration of OZ Minerals (OZL).  "
page_83.png,What was the total capital expenditure for copper operations in FY2024?,"Total capital expenditure for copper operations in FY2024 was US$3,711 million.  "
page_83.png,What is the expected total copper production range for FY2025 according to the outlook?,"The expected total copper production range for FY2025 is between 1,845 and 2,045 kilotonnes.  "
page_83.png,How did inflation impact the underlying EBITDA for copper in FY2024?,"Inflation negatively impacted underlying EBITDA by US$0.3 billion in FY2024, reflecting the phase of the respective mine plans."
page_84.png,What was the total revenue generated by BHP's Iron Ore segment in FY2024?,"The total revenue generated by BHP's Iron Ore segment in FY2024 was US$27,952 million.  "
page_84.png,How did the underlying EBITDA for Iron Ore change from FY2023 to FY2024?,"The underlying EBITDA for Iron Ore increased from US$16,692 million in FY2023 to US$18,913 million in FY2024.  "
page_84.png,"What was the total iron ore production volume for FY2024, and how does it compare to FY2023?","Total iron ore production for FY2024 was 260 Mt, compared to 257 Mt in FY2023.  "
page_84.png,"What were the average realized prices for iron ore (US$/wmt, FOB) in FY2024 and FY2023?",The average realized price for iron ore was US$101.04/wmt in FY2024 and US$92.54/wmt in FY2023.  
page_84.png,What were the primary drivers behind the increase in Iron Ore revenue in FY2024?,"The increase in Iron Ore revenue in FY2024 was primarily due to higher average realized prices and higher sales volumes, supported by strong supply chain performance and increased capacity from PDP1 and record production at South Flank.  "
page_84.png,What is BHP’s outlook for WAIO iron ore production in FY2025?,WAIO iron ore production in FY2025 is expected to be between 250 and 260 Mt (282 and 294 Mt on a 100 per cent basis).  
page_84.png,How did the underlying EBITDA for BHP's Coal segment change from FY2023 to FY2024?,"Underlying EBITDA for the Coal segment decreased from US$4,998 million in FY2023 to US$2,290 million in FY2024.  "
page_84.png,What was the average realized price for hard coking coal (HCC) in FY2024?,The average realized price for hard coking coal (HCC) in FY2024 was US$273.03/t.  
page_84.png,What was the total metallurgical coal production for BHP in FY2024?,Total metallurgical coal production for FY2024 was 22 Mt.  
page_84.png,"What were the major factors affecting steelmaking coal prices in FY2024, according to the management commentary?","Steelmaking coal prices were affected by a relatively stable market with an overall slight decline in prices, strong Indian steel production growth, recovery in the EU, offsetting output contractions in North East Asia and North America, and a modest recovery in Australian supply."
page_85.png,"By how much did BMA production decrease in FY2024, and what were the main contributing factors?","BMA production decreased by 23 percent to 22.3 Mt (44.6 Mt on a 100 percent basis) in FY2024, mainly due to increased stripping to improve supply chain stability, constrained labor availability, geotechnical faulting at Broadmeadow, and the temporary suspension of operations following a fatality and other events.  "
page_85.png,"What was the percentage increase in NSWEC production in FY2024, and what factors contributed to this change?","NSWEC production increased by 8 percent to 15.4 Mt in FY2024, driven by strong operating performance as improved weather and labor availability enabled an uplift in truck productivity.  "
page_85.png,"How much did coal revenue decrease in FY2024, and what were the main reasons for this decline?","Coal revenue decreased by US$3.3 billion to US$7.7 billion in FY2024, primarily due to lower average realised prices, lower volumes at BMA, and the divestment of Blackwater and Daunia.  "
page_85.png,"What was the recorded Underlying EBITDA for Coal in FY2024, and how did price impacts affect this figure?","Underlying EBITDA for Coal decreased by US$2.7 billion to US$2.3 billion, with price impacts (net of price-linked costs) decreasing Underlying EBITDA by US$1.5 billion.  "
page_85.png,What is the estimated impact of a US$1/tonne change in iron ore price on profit after taxation and Underlying EBITDA for FY2024?,A US$1/tonne change in iron ore price is estimated to impact profit after taxation by US$163 million and Underlying EBITDA by US$233 million in FY2024.  
page_85.png,How did Western Australia Nickel Revenue and Underlying EBITDA change in FY2024?,"Western Australia Nickel Revenue decreased by US$0.5 billion to US$1.5 billion, and Underlying EBITDA for Western Australia Nickel decreased by US$0.5 billion to a loss of US$0.3 billion in FY2024.  "
page_85.png,What actions were announced regarding Western Australia Nickel operations in July 2024?,"On 1 July 2024, the temporary suspension of operations at Western Australia Nickel was announced, with suspension by October 2024 and handover activities for temporary suspension completion by December 2024. A review of the decision is expected by February 2027.  "
page_85.png,"What was the Underlying EBITDA loss for Potash in FY2024, and what key project remains on track?","Potash recorded an Underlying EBITDA loss of US$255 million in FY2024, and Jansen Stage 1 is 52 percent complete, remaining on track for first production in late CY2026.  "
page_85.png,What is the expected production range for BMA coal and NSWEC coal in FY2025?,"BMA coal production for FY2025 is expected to be between 16.5 and 19 Mt, while NSWEC coal production is expected to be between 13 and 15 Mt.  "
page_85.png,"How did Nickel West production change in FY2024, and what factors influenced this change?","Nickel West production increased by 2 percent to 81.6 kt in FY2024, due to higher production of lower value matte products resulting from increased maintenance at Kwinana Refinery and severe weather events."
page_132.png,What are the main components included in BHP’s Consolidated Financial Statements for 2024?,"The main components are the Consolidated Income Statement, Consolidated Statement of Comprehensive Income, Consolidated Balance Sheet, Consolidated Cash Flow Statement, Consolidated Statement of Changes in Equity, and Notes to the Financial Statements.  "
page_132.png,On which page does the Consolidated Income Statement appear in the BHP Annual Report 2024?,The Consolidated Income Statement appears on page 133.  
page_132.png,Where can information about BHP’s revenue for the financial year be found in the report?,"Information about revenue is available in the Notes to the Financial Statements, specifically on page 141.  "
page_132.png,Which section of the report addresses significant events such as the Samarco dam failure?,"Significant events, including the Samarco dam failure, are discussed in Note 4 on page 144.  "
page_132.png,How does the report structure content related to the company’s capital structure?,"The report covers capital structure in Notes 17 to 20, which include share capital, other equity, dividends, and provisions for dividends and other liabilities.  "
page_132.png,Where can readers find details on BHP’s approach to climate change within the financial statements?,Details on climate change are provided in Note 16 on page 162.  
page_132.png,Which note discusses BHP’s employee share ownership plans?,Employee share ownership plans are discussed in Note 26 on page 179.  
page_132.png,Where is information about discontinued operations presented in the financial statements?,Information about discontinued operations is presented in Note 28 on page 183.  
page_132.png,On which pages are the Lead Auditor’s Independence Declaration and the Independent Auditor’s Report included?,"The Lead Auditor’s Independence Declaration is on page 199, and the Independent Auditor’s Report is on page 200.  "
page_132.png,Where does the report address new and amended accounting standards and policy changes?,New and amended accounting standards and changes to accounting policies are addressed in Note 39 on page 193.
page_133.png,What was the company's total revenue from continuing operations for the year ended 30 June 2024?,"The company's total revenue from continuing operations for the year ended 30 June 2024 was US$55,658 million.  "
page_133.png,What was the reported profit after taxation from continuing operations for the year ended 30 June 2024?,"The profit after taxation from continuing operations for the year ended 30 June 2024 was US$9,601 million.  "
page_133.png,"How much was the total taxation expense for the year ended 30 June 2024, as shown in the Consolidated Income Statement?","The total taxation expense for the year ended 30 June 2024 was US$6,447 million.  "
page_133.png,What was the basic earnings per ordinary share (in cents) attributable to BHP shareholders for the year ended 30 June 2024?,The basic earnings per ordinary share attributable to BHP shareholders for the year ended 30 June 2024 was 155.8 cents.  
page_133.png,How much profit or loss after taxation from discontinued operations was reported for the year ended 30 June 2024?,No profit or loss after taxation from discontinued operations was reported for the year ended 30 June 2024.  
page_133.png,What was the net finance cost for the year ended 30 June 2024?,"The net finance cost for the year ended 30 June 2024 was US$1,489 million.  "
page_133.png,How much comprehensive income attributable to BHP shareholders was reported for the year ended 30 June 2024?,"The total comprehensive income attributable to BHP shareholders for the year ended 30 June 2024 was US$7,902 million.  "
page_133.png,What was the reported profit before taxation for the year ended 30 June 2024?,"The profit before taxation for the year ended 30 June 2024 was US$16,048 million.  "
page_133.png,How much was recognized under re-measurement gains/(losses) on pension and medical schemes for the year ended 30 June 2024?,Re-measurement gains on pension and medical schemes for the year ended 30 June 2024 amounted to US$41 million.  
page_133.png,What amount was reported as attributable to non-controlling interests in the total comprehensive income for the year ended 30 June 2024?,"The amount attributable to non-controlling interests in the total comprehensive income for the year ended 30 June 2024 was US$1,708 million."
page_134.png,What was BHP's total assets as at 30 June 2024?,"BHP's total assets as at 30 June 2024 were US$102,362 million.  "
page_134.png,How much cash and cash equivalents did BHP report for the year ended 30 June 2024?,"BHP reported cash and cash equivalents of US$12,501 million for the year ended 30 June 2024.  "
page_134.png,What was the value of BHP’s current liabilities as at 30 June 2024?,"The value of BHP’s current liabilities as at 30 June 2024 was US$14,296 million.  "
page_134.png,"What amount did BHP report for property, plant, and equipment in non-current assets for 2024?","BHP reported property, plant, and equipment of US$71,629 million as non-current assets for 2024.  "
page_134.png,What is the total equity attributable to BHP shareholders as at 30 June 2024?,"The total equity attributable to BHP shareholders as at 30 June 2024 is US$44,811 million.  "
page_134.png,How did BHP’s provisions under non-current liabilities change from 2023 to 2024?,"Provisions under non-current liabilities increased from US$11,973 million in 2023 to US$15,088 million in 2024.  "
page_134.png,What is the total amount of BHP’s non-current liabilities for 2024?,"The total amount of BHP’s non-current liabilities for 2024 is US$38,946 million.  "
page_134.png,"Who approved the financial statements, and when were they signed?",The financial statements were approved by the Board of Directors on 27 August 2024 and signed on its behalf by Ken MacKenzie (Chair) and Mike Henry (Chief Executive Officer).  
page_134.png,By how much did BHP's net assets increase or decrease from 2023 to 2024?,"BHP's net assets increased from US$48,530 million in 2023 to US$49,120 million in 2024, an increase of US$590 million.  "
page_134.png,What was the reported amount of investments accounted for using the equity method in 2024?,"The reported amount of investments accounted for using the equity method in 2024 was US$1,662 million."
page_135.png,What was the net operating cash flow from Continuing operations for the year ended 30 June 2024?,"The net operating cash flow from Continuing operations for the year ended 30 June 2024 was $20,665 million.  "
page_135.png,"How much cash and cash equivalents, net of overdrafts, were reported at the end of the financial year 2024?","Cash and cash equivalents, net of overdrafts, at the end of the financial year 2024 were $12,498 million.  "
page_135.png,What was the amount of depreciation and amortisation expense recorded in 2024?,"The depreciation and amortisation expense recorded in 2024 was $5,295 million.  "
page_135.png,How did the net investing cash flows from Continuing operations for 2024 compare to 2023?,"Net investing cash flows from Continuing operations were $(8,762) million in 2024 compared to $(13,065) million in 2023.  "
page_135.png,What was the total amount of net financing cash flows from Continuing operations for the year 2024?,"The net financing cash flows from Continuing operations for 2024 were $(11,669) million.  "
page_135.png,How much was paid in net income tax and royalty-related taxation in 2024?,"Net income tax and royalty-related taxation paid in 2024 was $7,503 million.  "
page_135.png,What was the profit before taxation from Continuing operations in 2024?,"The profit before taxation from Continuing operations in 2024 was $16,048 million.  "
page_135.png,"What amount was received as proceeds from the sale of subsidiaries, operations, and joint operations, net of their cash, in 2024?","The proceeds from the sale of subsidiaries, operations, and joint operations, net of their cash, in 2024 were $1,072 million.  "
page_135.png,How much interest was paid during the year ended 30 June 2024?,"Interest paid during the year ended 30 June 2024 was $1,680 million.  "
page_135.png,What was the net increase in cash and cash equivalents from Continuing operations in 2024?,The net increase in cash and cash equivalents from Continuing operations in 2024 was $234 million.
page_136.png,What was the total equity attributable to BHP shareholders as at 30 June 2024?,"The total equity attributable to BHP shareholders as at 30 June 2024 was $44,811 million.  "
page_136.png,How much was recorded as total comprehensive income for the year ended 30 June 2024?,"The total comprehensive income for the year ended 30 June 2024 was $7,920 million.  "
page_136.png,What were the dividends paid to BHP shareholders during the year ended 30 June 2024?,"Dividends paid to BHP shareholders during the year ended 30 June 2024 amounted to $7,712 million.  "
page_136.png,What was the balance of retained earnings as at 30 June 2024?,"The balance of retained earnings as at 30 June 2024 was $39,963 million.  "
page_136.png,How much was distributed to non-controlling interests during the year ended 30 June 2024?,$4 million was distributed to non-controlling interests during the year ended 30 June 2024.  
page_136.png,"What was the balance of total equity at 30 June 2024, including non-controlling interests?","The balance of total equity at 30 June 2024 was $49,120 million.  "
page_136.png,How many BHP Group Limited shares were issued during the year ended 30 June 2024?,162 BHP Group Limited shares were issued during the year ended 30 June 2024.  
page_136.png,What was the value of accrued employee entitlement for unexercised awards net of tax for the year ended 30 June 2024?,The accrued employee entitlement for unexercised awards net of tax was $129 million for the year ended 30 June 2024.  
page_136.png,What was the balance of treasury shares as at 30 June 2024?,The balance of treasury shares as at 30 June 2024 was $(36) million.  
page_136.png,What was the total equity attributable to non-controlling interests as at 30 June 2024?,"The total equity attributable to non-controlling interests as at 30 June 2024 was $4,309 million."
page_137.png,What is the reporting period covered by the BHP Group Limited Consolidated Financial Statements?,The reporting period covered is for the year ended 30 June 2024.  
page_137.png,Which accounting standards have been applied in preparing the Group’s Financial Statements?,"The Financial Statements have been prepared in accordance with the Australian Corporations Act 2001, Australian Accounting Standards, and International Financial Reporting Standards (IFRS).  "
page_137.png,When was the financial report authorised for issue by the Board of Directors?,The financial report was authorised for issue on 27 August 2024.  
page_137.png,What approach does the Group use to measure items in its Financial Statements?,"The Group measures items on the basis of historical cost principles, except for certain items such as derivative financial instruments and other financial assets and liabilities at fair value.  "
page_137.png,How does the Group determine whether an entity should be consolidated as a subsidiary?,"An entity is consolidated as a subsidiary if the Group has power over the investee, is exposed to or has rights to variable returns, and can affect those returns through its power over the entity.  "
page_137.png,What are the primary currencies used for the presentation of the Group’s Financial Statements?,The Financial Statements are presented in US dollars.  
page_137.png,How does the Group account for joint operations?,"The Group recognises its assets and liabilities, income and expenses relating to its interest in a joint operation in accordance with IFRS Standards applicable to the specific assets, liabilities, revenue, and expenses.  "
page_137.png,What is the significance of including material accounting policies in the notes to the Financial Statements?,Material accounting policies are included where they relate to recognition and measurement bases used and are relevant to understanding the Financial Statements.  
page_137.png,What process does management follow to assess the appropriateness of the going concern assumption?,"Management uses financial projections to consider a range of potential future outcomes, demonstrating the Group has sufficient financial resources to meet its obligations for the going concern period.  "
page_137.png,What is the impact of changes in the Group’s interest in subsidiaries that do not result in a loss of control?,"Such changes are accounted for as equity transactions, with adjustments made to the carrying amount of non-controlling interests and the difference recognised directly in equity and attributed to the owners of the Company. "
page_138.png,How does BHP define a joint venture in its consolidated financial statements?,BHP defines a joint venture as a joint arrangement in which the parties that share joint control have rights to the net assets of the arrangement.  
page_138.png,What method does BHP use to account for investments in associates?,BHP accounts for investments in associates using the equity method.  
page_138.png,Under what circumstances does BHP presume significant influence exists over an associate?,"Significant influence is presumed to exist where BHP holds over 20 percent but less than 50 percent of the voting rights of an entity, unless it can be clearly demonstrated otherwise.  "
page_138.png,How are foreign exchange gains and losses recognized in BHP's financial statements?,"Foreign exchange gains and losses are recognized in the income statement, except for qualifying cash flow hedges and those relating to foreign currency provisions for site closure and rehabilitation costs, which are capitalized.  "
page_138.png,What are the main financial statement notes where BHP discloses significant judgments and estimates?,"The main notes include: 4 (Significant events – Samarco dam failure), 6 (Taxation), 11 (Overburden removal costs), 11 (Depreciation of property, plant and equipment), 13 (Impairment of non-current assets), 15 (Closure and rehabilitation provisions), 22 (Leases), and 29 (Business combinations).  "
page_138.png,What does BHP identify as being subject to change due to revised reserve estimates?,"Changes in reserve estimates may affect the Group’s financial results and financial position, including asset carrying values, depreciation, depletion and amortization charges, overburden removal costs, closure and rehabilitation provisions, and the carrying amount of deferred tax assets.  "
page_138.png,"What functional currency do the majority of BHP’s subsidiaries, joint arrangements, and associates use?",The majority use US dollars as the functional currency.  
page_138.png,What factors are considered in estimating the quantity and/or quality of BHP’s reserves?,"Estimating reserves requires analyses of geological data, including drilling samples and geophysical survey interpretations, and considers technical and economic factors such as quantities, qualities, production techniques, recovery efficiency, production and transport costs, supply and demand, and commodity prices.  "
