Page,Question,Answer
page_84.png,What was the total Iron Ore revenue for FY2024?,Total Iron Ore revenue for FY2024 was US$27.952 billion.  
page_84.png,How did Iron Ore Underlying EBITDA change between FY2023 and FY2024?,Iron Ore Underlying EBITDA increased by US$2.2 billion to US$18.913 billion in FY2024.  
page_84.png,What were the primary drivers of the increase in Iron Ore Underlying EBITDA?,Higher average realized prices (net of price-linked costs) and higher sales volumes primarily drove the increase in Underlying EBITDA.  
page_84.png,What is BHP's outlook for WAIO production in FY2025?,WAIO production is expected to be between 250 and 260 Mt (282 and 294 Mt on a 100 per cent basis) in FY2025.  
page_84.png,What factors contributed to the record Iron Ore production in FY2024?,Increased capacity unlocked by the Port Debottlenecking Project 1 (PDP1) and record production at South Flank contributed to the record production.  
page_84.png,What is the expected range for WAIO unit costs in FY2025?,WAIO unit costs are expected to be between US$18.00 and US$19.50 per tonne in FY2025.  
page_84.png,What is the expected Samarco production in FY2025 and when is the second concentrator expected online?,Samarco production is expected to be between 5 and 5.5 Mt (BHP share) in FY2025 with the second concentrator expected online during Q3 FY2025.  
page_84.png,What is BHP's medium-term outlook for China's iron ore demand?,BHP expects China's iron ore demand to be lower in the medium term as it moves beyond the crude steel production plateau and increases scrap-based steelmaking.  
page_84.png,What was the impact of South Flank reaching full production capacity?,South Flank reached full production capacity of 80 Mtpa (100 per cent basis) in FY2024.  
page_84.png,What were the key factors influencing iron ore prices in H2 FY2024?,Iron ore prices initially declined and then traded in the range of around US$100 to US$120/t due to subdued steel margins and potential policy-driven production controls in China.
page_85.png,What was the percentage decrease in BMA steelmaking coal production in FY2024?,BMA steelmaking coal production decreased by 23%.  
page_85.png,What were the contributing factors to the decrease in BMA steelmaking coal production?,"Increased stripping to improve supply chain stability, restoration of depleted inventory positions, extended weather impacts and labor constraints, the divestment of Blackwater and Daunia, an extended longwall move, geotechnical faulting at Broadmeadow, and the temporary suspension of operations at Saraji.  "
page_85.png,What was the percentage increase in NSWEC energy coal production in FY2024?,NSWEC energy coal production increased by 8%.  
page_85.png,What was the primary driver of the increase in NSWEC energy coal production?,"Strong operating performance due to improved weather and labor availability, leading to improved truck productivity.  "
page_85.png,What was the impact of price changes and lower volumes on Coal's Underlying EBITDA in FY2024?,"Price impacts decreased Underlying EBITDA by US$1.5 billion, and lower sales volumes decreased it by a further US$1.0 billion.  "
page_85.png,What is the expected range for BMA coal production in FY2025?,Between 16.5 and 19 Mt (33 and 38 Mt on a 100 percent basis).  
page_85.png,What is the expected range for BMA unit costs in FY2025?,Between US$112 and US$124 per tonne.  
page_85.png,What was the change in Western Australia Nickel Revenue in FY2024?,Revenue decreased by US$0.5 billion to US$1.5 billion.  
page_85.png,What was the Underlying EBITDA for Western Australia Nickel in FY2024?,A loss of US$0.3 billion.   
page_85.png,What is the estimated impact on profit after taxation of a US$1/t increase in the iron ore price?,US$163 million.
page_132.png,On which page can the Consolidated Statement of Cash Flow be found within the BHP Annual Report 2024?,Page 135.  
page_132.png,Where is information regarding the Samarco dam failure located in the report?,"Details about the Samarco dam failure are provided on page 144 under ""Significant events.""  "
page_132.png,What page should one refer to for information on BHP's climate change initiatives and related disclosures?,Information on climate change is on page 162.  
page_132.png,Where can details about BHP's net debt be found in the annual report?,Information on net debt can be found on page 169.  
page_132.png,Which page provides information on Key Management Personnel?,Page 179 contains information on Key Management Personnel.  
page_132.png,Where can details regarding BHP's discontinued operations be found?,Information on discontinued operations can be found on page 183.  
page_132.png,What page number contains information about related party transactions?,Related party transactions are detailed on page 188.  
page_132.png,Where can one find information concerning contingent liabilities?,Contingent liabilities are discussed on page 189.  
page_132.png,On what page is the auditor's remuneration disclosed?,The auditor's remuneration is disclosed on page 190.  
page_132.png,Where can information regarding new and amended accounting standards and interpretations be found within the report?,This information is located on page 193.
page_133.png,What was Atlassian's total revenue for the fiscal year ended 30 June 2024?,"Atlassian generated $55,658 million in revenue.  "
page_133.png,What was the profit from operations for the fiscal year ended 30 June 2024?,"$17,537 million.  "
page_133.png,What were the net finance costs for the fiscal year ended 30 June 2024?,"$1,489 million.  "
page_133.png,What was the total taxation expense for the fiscal year ended 30 June 2024?,"$6,447 million.  "
page_133.png,What was the profit after tax from continuing operations for fiscal year 2024?,"$9,601 million.  "
page_133.png,What were the basic earnings per ordinary share for the fiscal year ended 30 June 2024?,155.8 cents.  
page_133.png,What was the total comprehensive income for the fiscal year ended 30 June 2024?,"$9,610 million.  "
page_133.png,How much of the total comprehensive income was attributable to BHP shareholders for the fiscal year ended 30 June 2024?,"$7,902 million.  "
page_133.png,What was the (Loss)/gain taken to equity from hedges during the fiscal year ended 30 June 2024?,A loss of $33 million.  
page_133.png,What was the re-measurement gain/(loss) on pension and medical schemes for the fiscal year ended 30 June 2024?,A gain of $41 million.
page_134.png,"What was BHP's total assets as of June 30, 2024?","BHP's total assets were $102,362 million USD as of June 30, 2024.  "
page_134.png,How much did BHP's cash and cash equivalents change between fiscal year 2023 and 2024?,"Cash and cash equivalents increased by $73 million USD, from $12,428 million in 2023 to $12,501 million in 2024.  "
page_134.png,"What was the value of BHP's property, plant, and equipment in 2024?","BHP's property, plant, and equipment were valued at $71,629 million USD in 2024.  "
page_134.png,"What were BHP's total liabilities as of June 30, 2024?","BHP's total liabilities were $53,242 million USD.  "
page_134.png,"What was the value of BHP's inventories as of June 30, 2024 (including both current and non-current)?","The combined value of current and non-current inventories was $7,039 million USD ($5,828 million current + $1,211 million non-current).  "
page_134.png,What is the note reference for information related to BHP's provisions?,"Notes 4, 15, 20, and 27 provide details on BHP's provisions.  "
page_134.png,"What was the value of BHP's net assets as of June 30, 2024?","BHP's net assets were $49,120 million USD.  "
page_134.png,When were the financial statements approved by the Board of Directors?,"The financial statements were approved on August 27, 2024.  "
page_134.png,Who is the Chief Executive Officer of BHP?,Mike Henry is the Chief Executive Officer.  
page_134.png,"How much were the non-controlling interests in BHP as of June 30, 2024?","Non-controlling interests were $4,309 million USD."
page_135.png,What was the profit before taxation from continuing operations for the fiscal year 2024?,"$16,048 million.  "
page_135.png,What was the total depreciation and amortization expense for 2024?,"$5,295 million.  "
page_135.png,How much were the net operating cash flows from continuing operations in 2024?,"$20,665 million.  "
page_135.png,What was the primary investing activity expenditure in 2024?,"Purchases of property, plant and equipment, totaling $8,816 million.  "
page_135.png,"Did the company invest in subsidiaries, operations, and joint operations in 2024, and if so, what was the net cash impact?","Yes, there was an investment resulting in a net cash outflow of $701 million.  "
page_135.png,What were the net investing cash flows from continuing operations in 2024?,"$(8,762) million (net cash outflow).  "
page_135.png,What was the principal source of financing cash inflow in 2024?,"Proceeds from interest bearing liabilities, totaling $5,091 million.  "
page_135.png,What was the largest cash outflow related to financing activities in 2024?,"Repayment of interest bearing liabilities at $7,327 million.  "
page_135.png,What were the net financing cash flows from continuing operations for 2024?,"$(11,669) million (net cash outflow).  "
page_135.png,"What was the cash and cash equivalents, net of overdrafts, at the end of the financial year 2024?","$12,498 million."
page_136.png,"What was the total equity attributable to BHP shareholders as of June 30, 2024?","$44,811 million.  "
page_136.png,"What were BHP's retained earnings as of June 30, 2024?","$39,963 million.  "
page_136.png,"How much were the dividends distributed during the year ended June 30, 2024?","$7,712 million.  "
page_136.png,"What was the impact of the purchase of shares by ESOP Trusts during the year ended June 30, 2024?",A decrease of $162 million in share capital and $162 million in treasury shares.  
page_136.png,"What was the total comprehensive income for the year ended June 30, 2024?","$7,920 million.  "
page_136.png,"What was the balance of share capital for BHP Group Limited as of July 1, 2022?","$4,638 million.  "
page_136.png,"What was the impact of the accrued employee entitlement for unexercised awards net of tax as of June 30, 2023?",$130 million.  
page_136.png,"What was the total equity as of June 30, 2023?","$48,530 million.  "
page_136.png,"What was the value of reserves attributable to BHP shareholders as of July 1, 2023?",$13 million.  
page_136.png,"How much was distributed to non-controlling interests during the year ended June 30, 2024?",$4 million (represented as a decrease of $4 million).
page_137.png,What is the primary listing location for BHP Group Limited?,The Australian Securities Exchange.
page_137.png,When did BHP unify its corporate structure under BHP Group Limited?,"January 31, 2022."
page_137.png,What are the three key areas of disclosure considered material and relevant by BHP's Directors?,Group's current year results; impact of significant changes in the Group's business; and aspects of the Group's operations important to future performance.
page_137.png,When did the Board of Directors authorize the issuance of the financial report?,"August 27, 2024."
page_137.png,What accounting standards are used to prepare BHP's financial statements?,Australian Accounting Standards (AASB) and International Financial Reporting Standards (IFRS).
page_137.png,What is BHP's presentation currency?,US dollars.
page_137.png,What is BHP's basis for measuring items in its financial statements?,"Historical cost principles, with exceptions for derivative financial instruments, certain other financial assets and liabilities, and non-current assets or disposal groups classified as held-for-sale or held-for-distribution."
page_137.png,What scenarios were included in BHP's stress testing of its going concern assumption?,Downside commodity price and production scenarios.
page_137.png,Where can a list of BHP's significant entities be found?,"Notes 30, 31, and 32 of the financial statements."
page_137.png,What are the two classifications of joint arrangements used by BHP?,Joint operations and joint ventures.
page_138.png,How does BHP define a joint venture?,"A joint venture is a joint arrangement where parties with joint control have rights to the net assets of the arrangement, with a separate vehicle holding the rights to assets and obligations for liabilities.  More than an insignificant share of output is sold to third parties, and the joint venture is not dependent on the parties for funding or liability obligations.   "
page_138.png,What is BHP's criterion for determining significant influence in an associate?,"BHP presumes significant influence exists when it holds over 20% but less than 50% of the voting rights, unless demonstrably otherwise, or holds less than 20% but has the power to participate in financial and operating policy decisions.   "
page_138.png,What term does BHP use to collectively refer to joint ventures and associates?,"BHP uses the term ""equity accounted investments.""   "
page_138.png,How does BHP account for investments in associates and joint ventures?,"BHP uses the equity method, initially recognizing the investment at cost and subsequently adjusting it to reflect BHP's share of profit/loss and other comprehensive income.  BHP discontinues recognizing further losses when its share exceeds its interest in the associate/joint venture, recognizing additional losses only to the extent of incurred legal or constructive obligations or payments made on their behalf.   "
page_138.png,"What is the functional currency for the majority of BHP's subsidiaries, joint arrangements, and associates?",The functional currency is US dollars.   
page_138.png,Where are foreign exchange gains and losses recognized?,"They are recognized in the income statement, except for qualifying cash flow hedges (deferred to equity) and gains/losses on foreign currency provisions for site closure and rehabilitation costs (capitalized in property, plant and equipment).   "
page_138.png,"How does BHP reassess its judgements, estimates, and assumptions used in its accounting policies?",They are based on the most current facts and circumstances and are reassessed on an ongoing basis.   
page_138.png,Which note in the annual report details information about the Samarco dam failure?,Note 4.   
page_138.png,What are BHP's reserves defined as?,Reserves are estimates of the amount of product that can be economically and legally extracted from BHP's properties.   
page_138.png,"How can changes in reserve estimates impact depreciation, depletion, and amortization?","Depreciation, depletion, and amortization charged to the income statement may change where such charges are determined on the units of production basis, or where the useful economic lives of assets change."
